a, ʌ
abolitionist, æbʌlɪʃʌnʌst
abolitionists, æbʌlɪʃʌnʌsts
abolitionists(1), æbʌlɪʃʌnʌs
abominable, ʌbɑmʌnʌbʌl
abomination, ʌbɑmʌnejʃʌn
abood, ʌbud
aboodi, ʌbudɪ
abor, ʌbɔr
aboriginal, æbɚɪʤʌnʌl
aborigine, æbɚɪʤʌnɪ
aborigines, æbɚɪʤʌnɪz
aborn, ʌbɔrn
abort, ʌbɔrt
aborted, ʌbɔrtɪd
abortifacient, ʌbɔrtʌfejʃʌnt
abortifacients, ʌbɔrtʌfejʃʌnts
aborting, ʌbɔrtɪŋ
abortion, ʌbɔrʃʌn
abortionist, ʌbɔrʃʌnɪst
abortionists, ʌbɔrʃʌnɪsts
abortionists(1), ʌbɔrʃʌnɪs
abortions, ʌbɔrʃʌnz
abortive, ʌbɔrtɪv
aborts, ʌbɔrts
abott, ʌbɑt
abou, ʌbu
aboud, ɑbud
abouhalima, ɑbuhɑlɪmʌ
abouhalima's, ɑbuhɑlɪmʌz
abound, ʌbaʊnd
abounded, ʌbaʊndɪd
abounding, ʌbaʊndɪŋ
abounds, ʌbaʊndz
about, ʌbaʊt
about's, ʌbaʊts
above, ʌbʌv
above's, ʌbʌvz
aboveboard, ʌbʌvbɔrd
abplanalp, æbplʌnælp
abra, ɑbrʌ
abracadabra, æbrʌkʌdæbrʌ
abraham, ejbrʌhæm
abrahamian, æbrʌhejmɪʌn
abrahams, ejbrʌhæmz
abrahamsen, æbrʌhæmsʌn
abrahamson, ʌbræhʌmsʌn
abram, ʌbræm
abram's, ejbrʌmz
abramczyk, ɑbrʌmʧɪk
abramo, ɑbrɑmoʊ
abramovitz, ʌbrɑmʌvɪts
abramowicz, ʌbrɑmʌvɪʧ
abramowitz, ʌbrɑmʌʊɪts
abrams, ejbrʌmz
abrams's, ejbrʌmzɪz
abramson, ejbrʌmsʌn
abrasion, ʌbrejʒʌn
abrasions, ʌbrejʒʌnz
abrasive, ʌbrejsɪv
abrasives, ʌbrejsɪvz
abraxa, ʌbræksʌ
abraxa's, ʌbræksʌz
abraxas, ʌbræksʌz
abreast, ʌbrɛst
abrego, ɑbrɛgoʊ
abreu, ʌbru
abridge, ʌbrɪʤ
abridged, ʌbrɪʤd
abridgement, ʌbrɪʤmʌnt
abridges, ʌbrɪʤʌz
abridging, ʌbrɪʤɪŋ
abril, ʌbrɪl
abroad, ʌbrɔd
abrogate, æbrʌgejt
abrogated, æbrʌgejtɪd
abrogating, æbrʌgejtɪŋ
abrogation, æbrʌgejʃʌn
abrol, ʌbroʊl
abron, ʌbrɑn
abrupt, ʌbrʌpt
abruptly, ʌbrʌptlɪ
abruptness, ʌbrʌptnʌs
abrutyn, ejbrutɪn
abruzzese, ɑbrutsejzɪ
abruzzo, ɑbruzoʊ
abs, ejbɪɛs
abs(1), æbz
absalom, æbsʌlʌm
absaraka, æbsɑrʌkʌ
abscam, æbskæm
abscess, æbsɛs
abscond, æbskɑnd
absconded, æbskɑndʌd
absconding, æbskɑndɪŋ
absconds, æbskɑndz
absecon, æbsʌkɔn
absence, æbsʌns
absences, æbsʌnsɪz
absent, æbsʌnt
absentee, æbsʌntɪ
absenteeism, æbsʌntɪɪzʌm
absentees, æbsʌntɪz
absentia, æbsɛnʃʌ
absher, æbʃɚ
abshier, æbʃɪɚ
abshire, æbʃajr
absinthe, æbsɪnθ
abso, æbsoʊ
absolom, æbsʌlʌm
absolut, æbsʌlut
absolut's, æbsʌluts
absolute, æbsʌlut
absolutely, æbsʌlutlɪ
absoluteness, æbsʌlutnʌs
absolutes, æbsʌluts
absolution, æbsʌluʃʌn
absolutism, æbsʌlutɪzʌm
absolutist, æbsɪlutɪst
absolve, ʌbzɑlv
absolve(1), æbzɑlv
absolved, ʌbzɑlvd
absolved(1), æbzɑlvd
absolves, ʌbzɑlvz
absolves(1), æbzɑlvz
absolving, ʌbzɑlvɪŋ
absolving(1), æbzɑlvɪŋ
absorb, ʌbzɔrb
absorbed, ʌbzɔrbd
absorbency, ʌbzɔrbʌnsɪ
absorbent, ʌbzɔrbʌnt
absorber, ʌbzɔrbɚ
absorbers, ʌbzɔrbɚz
absorbing, ʌbzɔrbɪŋ
absorbs, ʌbzɔrbz
absorption, ʌbzɔrpʃʌn
absorption(1), ʌbsɔrpʃʌn
abstain, ʌbstejn
abstain(1), æbstejn
abstained, ʌbstejnd
abstained(1), æbstejnd
abstaining, ʌbstejnɪŋ
abstaining(1), æbstejnɪŋ
abstention, ʌbstɛnʧʌn
abstention(1), æbstɛnʧʌn
abstentions, ʌbstɛnʧʌnz
abstentions(1), æbstɛnʧʌnz
abstinence, æbstʌnʌns
abstinent, æbstʌnʌnt
abston, æbstʌn
abstract, æbstrækt
abstract(1), æbstrækt
abstracted, æbstræktɪd
abstraction, æbstrækʃʌn
abstractions, æbstrækʃʌnz
abstracts, æbstrækts
abstruse, ʌbstrus
absurd, ʌbsɚd
absurdist, ʌbsɚdɪst
absurdities, ʌbsɚdʌtɪz
absurdity, ʌbsɚdʌtɪ
absurdly, ʌbsɚdlɪ
abt, æbt
abt(1), ejbɪtɪ
abts, æbts
abts(1), ejbɪtɪz
abts(2), ejbɪtɪɛs
abu, æbu
abudrahm, ʌbʌdrʌm
abuellah, ʌbʊɛlʌ
abuellah's, ʌbʊɛlʌz
abuladze, æbjulædzɪ
abundance, ʌbʌndʌns
abundant, ʌbʌndʌnt
abundantly, ʌbʌndʌntlɪ
aburto, ʌbʊrtoʊ
aburto's, ʌbʊrtoʊz
abuse, ʌbjus
abuse(1), ʌbjuz
abused, ʌbjuzd
abuser, ʌbjuzɚ
abusers, ʌbjuzɚz
abuses, ʌbjusɪz
abuses(1), ʌbjuzɪz
abusing, ʌbjuzɪŋ
abusive, ʌbjusɪv
abut, ʌbʌt
abuts, ʌbʌts
abutted, ʌbʌtʌd
abutting, ʌbʌtɪŋ
abuzz, ʌbʌz
abysmal, ʌbɪzmʌl
abysmally, ʌbɪzmʌlɪ
abyss, ʌbɪs
abyssinia, æbsɪnɪʌ
abyssinian, æbsɪnɪʌn
abzug, æbzʌg
abzug(1), æbzʊg
ac, ejsɪ
aca, ækʌ
acacia, ʌkejʃʌ
academe, ækʌdɪm
academia, ækʌdɪmɪʌ
academic, ækʌdɛmɪk
academically, ækʌdɛmɪklɪ
academician, ækʌdʌmɪʃʌn
academicians, ækʌdʌmɪʃʌnz
academicians(1), ʌkædʌmɪʃʌnz
academics, ækʌdɛmɪks
academies, ʌkædʌmɪz
academy, ʌkædʌmɪ
academy's, ʌkædʌmɪz
acadia, ʌkejdɪʌ
acampo, ʌkɑmpoʊ
acampora, ʌkæmpɚʌ
acampsia, ʌkæmpsjʌ
acantha, ɑkɑnðʌ
acapulco, ækʌpʊlkoʊ
acary, ækɚɪ
accardi, ɑkɑrdɪ
accardo, ɑkɑrdoʊ
accede, æksɪd
acceded, æksɪdɪd
accedes, æksɪdz
acceding, æksɪdɪŋ
accel, ʌksɛl
accelerant, æksɛlɚʌnt
accelerants, æksɛlɚʌnts
accelerate, æksɛlɚejt
accelerated, æksɛlɚejtɪd
accelerates, æksɛlɚejts
accelerating, æksɛlɚejtɪŋ
acceleration, æksɛlɚejʃʌn
accelerator, æksɛlɚejtɚ
accelerators, æksɛlɚejtɚz
accelerometer, æksɛlɚɑmʌtɚ
accelerometers, æksɛlɚɑmʌtɚz
accent, ʌksɛnt
accent(1), æksɛnt
accented, æksɛntɪd
accenting, æksɛntɪŋ
accents, æksɛnts
accentuate, æksɛnʧuejt
accentuated, æksɛnʧʌʊejtɪd
accentuates, æksɛnʧuejts
accentuating, æksɛnʧʌʊejtɪŋ
accept, æksɛpt
accept(1), ʌksɛpt
acceptability, ʌksɛptʌbɪlʌtɪ
acceptable, æksɛptʌbʌl
acceptable(1), ʌksɛptʌbʌl
acceptably, æksɛptʌblɪ
acceptably(1), ʌksɛptʌblɪ
acceptance, æksɛptʌns
acceptance(1), ʌksɛptʌns
acceptances, æksɛptʌnsɪz
accepted, æksɛptɪd
accepted(1), ʌksɛptʌd
accepting, æksɛptɪŋ
accepting(1), ʌksɛptɪŋ
accepts, æksɛpts
access, æksɛs
accessed, æksɛst
accessibility, æksɛsʌbɪlɪtɪ
accessible, æksɛsʌbʌl
accessing, æksɛsɪŋ
accession, ʌksɛʃʌn
accessories, æksɛsɚɪz
accessorize, æksɛsɚajz
accessorized, æksɛsɚajzd
accessory, æksɛsɚɪ
accetta, ɑʧɛtʌ
accident, æksʌdʌnt
accident's, æksʌdʌnts
accidental, æksʌdɛntʌl
accidental(1), æksʌdɛnʌl
accidentally, æksʌdɛntʌlɪ
accidentally(1), æksʌdɛnʌlɪ
accidently, æksʌdʌntlɪ
accidents, æksʌdʌnts
accion, æʧɪʌn
accival, æsɪvɑl
acclaim, ʌklejm
acclaim's, ʌklejmz
acclaimed, ʌklejmd
acclaiming, ʌklejmɪŋ
acclaims, ʌklejmz
acclamation, æklʌmejʃʌn
acclimate, æklʌmejt
acclimated, æklʌmejtɪd
acclimation, æklʌmejʃʌn
acco, ækoʊ
accokeek, ækoʊkɪk
accola, ɑkoʊlʌ
accolade, ækʌlejd
accolades, ækʌlejdz
accomando, ɑkoʊmɑndoʊ
accommodate, ʌkɑmʌdejt
accommodated, ʌkɑmʌdejtʌd
accommodates, ʌkɑmʌdejts
accommodating, ʌkɑmʌdejtɪŋ
accommodation, ʌkɑmʌdejʃʌn
accommodations, ʌkɑmʌdejʃʌnz
accommodative, ʌkɑmʌdejtɪv
accompanied, ʌkʌmpʌnɪd
accompanies, ʌkʌmpʌnɪz
accompaniment, ʌkʌmpnɪmʌnt
accompaniment(1), ʌkʌmpnɪmʌnt
accompaniments, ʌkʌmpnɪmʌnts
accompaniments(1), ʌkʌmpnɪmʌnts
accompanist, ʌkʌmpʌnʌst
accompany, ʌkʌmpʌnɪ
accompanying, ʌkʌmpʌnɪɪŋ
accompli, ɑkɑmplɪ
accompli(1), ʌkɑmplɪ
accomplice, ʌkɑmplʌs
accomplices, ʌkɑmplʌsʌz
accomplish, ʌkɑmplɪʃ
accomplished, ʌkɑmplɪʃt
accomplishes, ʌkɑmplɪʃɪz
accomplishing, ʌkɑmplɪʃɪŋ
accomplishment, ʌkɑmplɪʃmʌnt
accomplishments, ʌkɑmplɪʃmʌnts
accor, ækɔr
accor's, ækɚz
accord, ʌkɔrd
accord's, ʌkɔrdz
accordance, ʌkɔrdʌns
accorded, ʌkɔrdɪd
according, ʌkɔrdɪŋ
accordingly, ʌkɔrdɪŋlɪ
accordion, ʌkɔrdɪʌn
accordions, ʌkɔrdɪʌnz
accords, ʌkɔrdz
accost, ʌkɔst
accosted, ʌkɑstʌd
accosting, ʌkɑstɪŋ
account, ʌkaʊnt
account's, ʌkaʊnts
accountability, ʌkaʊntʌbɪlɪtɪ
accountability(1), ʌkaʊnʌbɪlɪtɪ
accountable, ʌkaʊntʌbʌl
accountable(1), ʌkaʊnʌbʌl
accountancy, ʌkaʊntʌnsɪ
accountant, ʌkaʊntʌnt
accountant's, ʌkaʊntʌnts
accountants, ʌkaʊntʌnts
accountants', ʌkaʊntʌnts
accounted, ʌkaʊntʌd
accounted(1), ʌkaʊnʌd
accountemp, ʌkaʊntɛmp
accountemps, ʌkaʊntɛmps
accounting, ʌkaʊntɪŋ
accounting(1), ʌkaʊnɪŋ
accounts, ʌkaʊnts
accouterment, ʌkutɚmʌnt
accouterments, ʌkutɚmʌnts
accoutrement, ʌkutɚmʌnt
accoutrements, ʌkutɚmʌnts
accredit, ʌkrɛdʌt
accreditation, ʌkrɛdʌtejʃʌn
accreditations, ʌkrɛdʌdejʃʌnz
accredited, ʌkrɛdɪtɪd
accrediting, ʌkrɛdʌtɪŋ
accreted, ʌkrɪtɪd
accretion, ʌkrɪʃʌn
accrual, ʌkruʌl
accruals, ʌkruʌlz
accrue, ʌkru
accrued, ʌkrud
accrues, ʌkruz
accruing, ʌkruɪŋ
accu, ækju
accuhealth, ækjuhɛlθ
accumulate, ʌkjumjʌlejt
accumulated, ʌkjumjʌlejtɪd
accumulates, ʌkjumjʌlejts
accumulating, ʌkjumjʌlejtɪŋ
accumulation, ʌkjumjʌlejʃʌn
accumulations, ʌkjumjʌlejʃʌnz
accumulative, ʌkjumjʌlejtɪv
accumulatively, ʌkjumjʌlejtɪvlɪ
accumulatively(1), ʌkjumjʌlʌtɪvlɪ
accumulator, ʌkjumjʌlejtɚ
accumulators, ʌkjumjʌlejtɚz
accuracies, ækjɚʌsɪz
accuracy, ækjɚʌsɪ
accurate, ækjɚʌt
accurately, ækjɚʌtlɪ
accuray, ækjɚej
accuray's, ækjɚejz
accuride, ækjɚajd
accurso, ɑkʊrsoʊ
accusation, ækjʌzejʃʌn
accusation(1), ækjuzejʃʌn
accusations, ækjʌzejʃʌnz
accusations(1), ækjuzejʃʌnz
accusative, ʌkjuzʌtɪv
accusatory, ʌkjuzʌtɔrɪ
accuse, ʌkjuz
accused, ʌkjuzd
accuser, ʌkjuzɚ
accusers, ʌkjuzɚz
accuses, ʌkjuzɪz
accusing, ʌkjuzɪŋ
accusingly, ʌkjuzɪŋlɪ
accustom, ʌkʌstʌm
accustomed, ʌkʌstʌmd
accutane, ækjutejn
ace, ejs
acecomm, ejskɑm
aced, ejst
acer, ejsɚ
acerbic, ʌsɛrbɪk
acero, ʌsɛroʊ
acero(1), ʌsjɛroʊ
acero(2), ʌθɛroʊ
acerra, ʌsɛrʌ
aces, ejsɪz
acetaminophen, ʌsɪtʌmɪnʌfʌn
acetate, æsʌtejt
acetic, ʌsɛtɪk
acetic(1), ʌsɪtɪk
aceto, ɑsɛtoʊ
acetochlor, ɑsɛtoʊklɔr
acetone, æsʌtoʊn
acetosyringone, ʌsɛtoʊsɪrɪŋgɔn
acetylcholine, ʌsɛtʌlkoʊlɪn
acetylcholine(1), ʌsɪtʌlkoʊlɪn
acetylene, ʌsɛtʌlɪn
acevedo, æsʌvejdoʊ
aceves, ɑsejvɛs
acey, ejsɪ
achaean, ʌʧɪʌn
achatz, ækʌts
ache, ejk
achebe, ɑʧejbɪ
ached, ejkt
achee, ʌʧɪ
achenbach, ækɪnbɑk
achenbaum, ækʌnbaʊm
aches, ejks
acheson, æʧʌsʌn
acheson's, æʧʌsʌnz
achesons, æʧʌsʌnz
achey, æʧɪ
achieva, ʌʧɪvʌ
achievable, ʌʧɪvʌbʌl
achieve, ʌʧɪv
achieved, ʌʧɪvd
achievement, ʌʧɪvmʌnt
achievements, ʌʧɪvmʌnts
achiever, ʌʧɪvɚ
achievers, ʌʧɪvɚz
achieves, ʌʧɪvz
achieving, ʌʧɪvɪŋ
achille, ʌkɪlɪ
achilles, ʌkɪlɪz
achilles', ʌkɪlɪz
aching, ejkɪŋ
achingly, ejkɪŋlɪ
achmed, ɑhmɛd
achoa, ʌʧoʊʌ
achoa's, ʌʧoʊʌz
achor, ejkɚ
achord, ækɔrd
achorn, ækɚn
achtenberg, æktɛnbɚg
achterberg, æktɚbɚg
achy, ejkɪ
acid, æsʌd
acidic, ʌsɪdɪk
acidification, ʌsɪdʌfʌkejʃʌn
acidified, ʌsɪdʌfajd
acidifies, ʌsɪdʌfajz
acidify, ʌsɪdʌfaj
acidity, ʌsɪdʌtɪ
acidly, æsʌdlɪ
acidosis, æsʌdoʊsʌs
acids, æsʌdz
aciduria, æsʌdʊrɪʌ
acierno, ɑsɪrnoʊ
ack, æk
acker, ækɚ
acker's, ækɚz
ackerley, ækɚlɪ
ackerly, ækɚlɪ
ackerman, ækɚmʌn
ackermann, ækɚmʌn
ackermanville, ækɚmʌnvɪl
ackerson, ækɚsʌn
ackert, ækɚt
ackhouse, ækhaʊs
ackland, æklʌnd
ackles, ækʌlz
ackley, æklɪ
acklin, æklɪn
ackman, ækmʌn
acknowledge, æknɑlɪʤ
acknowledge(1), ɪknɑlɪʤ
acknowledgeable, æknɑlɪʤʌbʌl
acknowledgeable(1), ɪknɑlɪʤʌbʌl
acknowledged, æknɑlɪʤd
acknowledged(1), ɪknɑlɪʤd
acknowledgement, æknɑlɪʤmʌnt
acknowledgement(1), ɪknɑlɪʤmʌnt
acknowledgements, æknɑlɪʤmʌnts
acknowledgements(1), ɪknɑlɪʤmʌnts
acknowledges, æknɑlɪʤɪz
acknowledges(1), ɪknɑlɪʤɪz
acknowledging, æknɑlɪʤɪŋ
acknowledging(1), ɪknɑlɪʤɪŋ
acknowledgment, æknɑlɪʤmʌnt
acknowledgment(1), ɪknɑlɪʤmʌnt
ackroyd, ækrɔjd
ackroyd's, ækrɔjdz
acmat, ækmæt
acmat's, ækmæts
acme, ækmɪ
acme's, ækmɪz
acne, æknɪ
acocella, ɑkoʊʧɛlʌ
acoff, ækɔf
acog, ʌkɔg
acolyte, ækʌlajt
acolytes, ækʌlajts
acord, ʌkɔrd
acordia, ʌkɔrdɪʌ
acorn, ejkɔrn
acorn's, ejkɔrnz
acorns, ejkɔrnz
acosta, ʌkɔstʌ
acott, ejkɔt
acoustic, ʌkustɪk
acoustical, ʌkustɪkʌl
acoustically, ʌkustɪklɪ
acoustics, ʌkustɪks
acquaint, ʌkʊejnt
acquaintance, ʌkʊejntʌns
acquaintances, ʌkʊejntʌnsɪz
acquaintanceship, ʌkʊejntʌnsʃɪp
acquainted, ʌkʊejntɪd
acquainted(1), ʌkʊejnɪd
acquaviva, ɑkʊɑvɪvʌ
acquiesce, ækʊɪɛs
acquiesced, ækʊɪɛst
acquiescence, ækʊɪɛsʌns
acquiescing, ækʊɪɛsɪŋ
acquire, ʌkʊajɚ
acquired, ʌkʊajɚd
acquirer, ʌkʊajɚɚ
acquirer's, ʌkʊajɚɚz
acquirers, ʌkʊajɚɚz
acquires, ʌkʊajɚz
acquiring, ʌkʊajrɪŋ
acquiring(1), ʌkʊajɚɪŋ
acquisition, ækʊʌzɪʃʌn
acquisition's, ækʊʌzɪʃʌnz
acquisitions, ækʊʌzɪʃʌnz
acquisitive, ʌkʊɪzʌtɪv
acquit, ʌkʊɪt
acquitaine, ækʊɪtejn
acquits, ʌkʊɪts
acquittal, ʌkʊɪtʌl
acquittals, ʌkʊɪtʌlz
acquitted, ʌkʊɪtʌd
acquitted(1), ʌkʊɪtɪd
acquitting, ʌkʊɪtɪŋ
acre, ejkɚ
acreage, ejkɚɪʤ
acreage(1), ejkrʌʤ
acree, ʌkrɪ
acres, ejkɚz
acrey, ækrɪ
acri, ɑkrɪ
acrid, ækrɪd
acrimonious, ækrʌmoʊnɪʌs
acrimony, ækrɪmoʊnɪ
acro, ækroʊ
acrobat, ækrʌbæt
acrobatic, ækrʌbætɪk
acrobatics, ækrʌbætɪks
acrobats, ækrʌbæts
acrolein, ækroʊlɪn
acronym, ækrʌnɪm
acronyms, ækrʌnɪmz
acropolis, ʌkrɑpʌlʌs
across, ʌkrɔs
acrylic, ʌkrɪlɪk
acrylics, ʌkrɪlɪks
act, ækt
act's, ækts
actava, æktɑvʌ
actava's, æktɑvʌz
actavas, æktɑvʌz
acted, æktʌd
acted(1), æktɪd
actel, æktɛl
actigall, æktɪgɔl
actin, æktʌn
acting, æktɪŋ
actinide, æktɪnajd
actinidia, æktɪnɪdɪʌ
actinomycosis, æktɪnoʊmajkoʊsɪs
action, ækʃʌn
action's, ækʃʌnz
actionable, ækʃʌnʌbʌl
actions, ækʃʌnz
activase, æktɪvejz
activate, æktʌvejt
activated, æktʌvejtʌd
activated(1), æktɪvejtɪd
activates, æktʌvejts
activating, æktʌvejtɪŋ
activation, æktʌvejʃʌn
activator, æktʌvejtɚ
active, æktɪv
active's, æktɪvz
actively, æktɪvlɪ
actives, æktɪvz
activision, æktɪvɪʒʌn
activism, æktɪvɪzʌm
activist, æktʌvʌst
activist(1), æktɪvɪst
activists, æktʌvʌsts
activists(1), æktɪvɪsts
activists(2), æktʌvʌs
activists(3), æktɪvɪs
activists', æktɪvɪsts
activists'(1), æktɪvɪs
activities, æktɪvʌtɪz
activities(1), æktɪvɪtɪz
activity, æktɪvʌtɪ
activity(1), æktɪvɪtɪ
actmedia, æktmɪdɪʌ
actodine, æktoʊdajn
acton, æktʌn
actor, æktɚ
actor's, æktɚz
actors, æktɚz
actors', æktɚz
actress, æktrʌs
actress's, æktrʌsɪz
actresses, æktrʌsɪz
acts, ækts
acts(1), æks
actual, ækʧʌʊʌl
actual(1), ækʃʌl
actuality, ækʧuælʌtɪ
actualize, ækʧuʌlajz
actually, ækʧuʌlɪ
actually(1), ækʧlɪ
actually(2), ækʃʌlɪ
actuarial, ækʧuɛrɪʌl
actuaries, ækʧuɛrɪz
actuary, ækʧuɛrɪ
actuate, ækʧuejt
actuator, æktjuejtɚ
actuator(1), ækʧuejtɚ
actuators, æktjuejtɚz
actuators(1), ækʧuejtɚz
actus, æktʌs
acuff, ʌkʌf
acuity, ʌkjuʌtɪ
acumen, ʌkjumʌn
acuna, ɑkunʌ
acupuncture, ækjupʌŋkʧɚ
acura, ækjɚʌ
acura's, ækjɚʌz
acuras, ækjɚʌz
